Building with no build.h present
Building 0x0001 - 19990804 23:02:27
Building 0x0002 - 19990804 23:28:47
Building 0x0003 - 19990804 23:29:19
Building 0x0004 - 19990805 12:30:08
Building 0x0005 - 19990805 13:03:28
Building 0x0006 - 19990805 13:12:10
Building 0x0007 - 19990805 14:32:43
Building 0x0008 - 19990805 14:39:53
Building 0x0009 - 19990805 19:26:12
Building 0x000a - 19990805 19:33:48
Building 0x000b - 19990805 19:35:47
Building 0x000c - 19990805 19:38:08
Building 0x000d - 19990805 19:39:52
Building 0x000e - 19990805 19:46:01
Building 0x000f - 19990805 19:46:54
Building 0x0010 - 19990805 19:49:25
Building 0x0011 - 19990809 16:56:23
Building 0x0012 - 19990809 16:56:46
Building 0x0013 - 19990809 16:57:42
Building 0x0014 - 19990809 17:00:24
Building 0x0015 - 19990809 17:01:07
Building 0x0016 - 19990809 17:48:21
Building 0x0017 - 19990809 17:50:01
Building 0x0018 - 19990809 17:51:09
Building 0x0019 - 19990809 17:52:11
Building 0x001a - 19990809 17:52:40
Building 0x001b - 19990809 17:53:32
Building 0x001c - 19990809 17:54:30
Building 0x001d - 19990809 17:56:22
Building 0x001e - 19990809 18:00:21
Building 0x001f - 19990809 18:02:21
Building 0x0020 - 19990809 18:05:14
Building 0x0021 - 19990809 18:13:27
Building 0x0022 - 19990809 18:19:20
Building 0x0023 - 19990809 18:22:29
Building 0x0024 - 19990809 18:23:42
Building 0x0025 - 19990809 18:30:54
Building 0x0026 - 19990809 18:34:45
Building 0x0027 - 19990809 18:36:07
Building 0x0028 - 19990809 18:37:16
Building 0x0029 - 19990809 18:38:01
Building 0x002a - 19990809 18:38:36
Building 0x002b - 19990816 23:06:43
Building 0x002c - 19990817 02:39:37
Building 0x002d - 19990817 03:05:37
Building 0x002e - 19990817 03:20:00
Building 0x002f - 19990817 12:16:24
Building 0x0030 - 19990817 12:40:13
Building 0x0031 - 19990817 13:45:33
Building 0x0032 - 19990817 14:59:06
Building 0x0033 - 19990817 16:03:37
Building 0x0034 - 19990817 16:04:24
Building 0x0035 - 19990817 16:05:14
Building 0x0036 - 19990817 16:05:40
Building 0x0037 - 19990817 16:27:51
Building 0x0038 - 19990817 16:29:44
Building 0x0039 - 19990817 16:45:12
Building 0x003a - 19990817 17:05:51
Building 0x003b - 19990817 23:39:01
Building 0x003c - 19990823 09:18:07
Building 0x003d - 19990823 09:19:35
Building 0x003e - 19990823 09:29:47
Building 0x003f - 19990823 09:45:12
Building 0x0040 - 19990823 09:55:40
Building 0x0041 - 19990823 09:56:07
Building 0x0042 - 19990823 09:56:48
Building 0x0043 - 19990823 10:02:30
Building 0x0044 - 19990823 17:25:37
Building 0x0045 - 19990823 17:52:54
Building 0x0046 - 19990823 17:59:56
Building 0x0047 - 19990823 18:07:52
Building 0x0048 - 19990823 18:08:41
Building 0x0049 - 19990823 18:09:29
Building 0x004a - 19990823 18:11:27
Building 0x004b - 19990823 18:19:45
Building 0x004c - 19990823 18:25:51
Building 0x004d - 19990823 19:49:22
Building 0x004e - 19990823 20:10:16
Building 0x004f - 19990823 20:31:18
Building 0x0050 - 19990823 20:34:49
Building 0x0051 - 19990823 20:37:05
